run,miou,pixel_acc,sky,building,pole,road,pavement,tree,sign_symbol,fence,car,pedestrian,bicyclist
unet_100,0.4697,0.8092,0.7957,0.7215,0.2192,0.7945,0.3681,0.6739,0.2562,0.0941,0.7459,0.3607,0.1371
segformer_100,0.5982,0.9037,0.8497,0.8183,0.3276,0.9362,0.5791,0.8567,0.4000,0.1889,0.8353,0.5763,0.2124
