epoch,train_loss,val_miou,val_pixel_acc,lr
1,1.6092,0.5847,0.8584,6.00e-05
2,0.9618,0.6239,0.8864,5.64e-05
3,0.8147,0.6522,0.9004,5.27e-05
4,0.7442,0.6790,0.9133,4.91e-05
5,0.6840,0.6785,0.9126,4.54e-05
6,0.6607,0.7030,0.9267,4.17e-05
7,0.6148,0.6982,0.9226,3.79e-05
8,0.5898,0.7266,0.9359,3.41e-05
9,0.5616,0.7222,0.9318,3.02e-05
10,0.5556,0.7252,0.9336,2.63e-05
11,0.5439,0.7216,0.9336,2.23e-05
12,0.5237,0.7294,0.9358,1.83e-05
13,0.5166,0.7214,0.9315,1.41e-05
14,0.5025,0.7286,0.9361,9.79e-06
15,0.5035,0.7296,0.9358,5.24e-06
