epoch,train_loss,val_miou,val_pixel_acc,lr
1,1.7501,0.5795,0.8549,1.00e-04
2,1.0353,0.5775,0.8578,9.92e-05
3,0.8517,0.6221,0.8911,9.85e-05
4,0.7709,0.6764,0.9196,9.77e-05
5,0.7038,0.7043,0.9255,9.70e-05
6,0.6601,0.6899,0.9232,9.62e-05
7,0.5950,0.7004,0.9267,9.55e-05
8,0.5708,0.7233,0.9347,9.47e-05
9,0.5310,0.7112,0.9270,9.40e-05
10,0.5298,0.7232,0.9361,9.32e-05
11,0.5460,0.7106,0.9307,9.25e-05
12,0.4867,0.7257,0.9346,9.17e-05
13,0.4748,0.7346,0.9404,9.10e-05
14,0.4495,0.7189,0.9316,9.02e-05
15,0.4449,0.7399,0.9413,8.94e-05
16,0.4446,0.7440,0.9431,8.87e-05
17,0.4305,0.7440,0.9430,8.79e-05
18,0.4035,0.7509,0.9446,8.72e-05
19,0.4125,0.7380,0.9391,8.64e-05
20,0.4032,0.7359,0.9394,8.56e-05
21,0.3912,0.7471,0.9452,8.49e-05
22,0.4013,0.7511,0.9445,8.41e-05
23,0.3746,0.7338,0.9377,8.33e-05
24,0.3761,0.7536,0.9420,8.26e-05
25,0.3460,0.7557,0.9470,8.18e-05
26,0.3632,0.7619,0.9474,8.10e-05
27,0.3723,0.7533,0.9442,8.03e-05
28,0.3397,0.7520,0.9446,7.95e-05
29,0.3346,0.7581,0.9478,7.87e-05
30,0.3471,0.7538,0.9479,7.80e-05
31,0.3304,0.7581,0.9488,7.72e-05
32,0.3309,0.7605,0.9493,7.64e-05
33,0.3384,0.7490,0.9448,7.56e-05
34,0.3300,0.7497,0.9459,7.49e-05
35,0.3127,0.7611,0.9478,7.41e-05
36,0.3089,0.7615,0.9481,7.33e-05
37,0.3000,0.7646,0.9496,7.25e-05
38,0.3015,0.7629,0.9488,7.18e-05
39,0.3025,0.7626,0.9490,7.10e-05
40,0.2866,0.7680,0.9500,7.02e-05
41,0.2867,0.7705,0.9517,6.94e-05
42,0.3024,0.7613,0.9485,6.86e-05
43,0.2972,0.7626,0.9495,6.79e-05
44,0.2968,0.7655,0.9494,6.71e-05
45,0.2835,0.7617,0.9481,6.63e-05
46,0.2720,0.7636,0.9497,6.55e-05
47,0.2841,0.7578,0.9486,6.47e-05
48,0.3053,0.7707,0.9512,6.39e-05
49,0.2783,0.7685,0.9511,6.31e-05
50,0.2795,0.7726,0.9531,6.24e-05
51,0.2601,0.7699,0.9502,6.16e-05
52,0.2702,0.7749,0.9524,6.08e-05
53,0.2627,0.7738,0.9510,6.00e-05
54,0.2603,0.7683,0.9501,5.92e-05
55,0.2653,0.7744,0.9523,5.84e-05
56,0.2607,0.7742,0.9526,5.76e-05
57,0.2644,0.7730,0.9514,5.68e-05
58,0.2530,0.7701,0.9508,5.60e-05
59,0.2679,0.7740,0.9538,5.52e-05
60,0.2592,0.7721,0.9519,5.44e-05
61,0.2624,0.7724,0.9514,5.36e-05
62,0.2457,0.7732,0.9529,5.28e-05
63,0.2588,0.7785,0.9543,5.20e-05
64,0.2670,0.7786,0.9545,5.12e-05
65,0.2501,0.7760,0.9529,5.04e-05
66,0.2493,0.7750,0.9536,4.96e-05
