epoch,train_loss,val_miou,val_pixel_acc,lr
1,2.9427,0.3147,0.6610,3.00e-04
2,2.3087,0.3844,0.7254,2.98e-04
3,1.9532,0.4345,0.7672,2.95e-04
4,1.6687,0.5208,0.8208,2.93e-04
5,1.4096,0.5670,0.8452,2.91e-04
6,1.2373,0.5788,0.8746,2.89e-04
7,1.1017,0.5775,0.8657,2.86e-04
8,1.0639,0.5895,0.8443,2.84e-04
9,0.9871,0.5709,0.8374,2.82e-04
10,0.9061,0.5685,0.8480,2.80e-04
11,0.8421,0.6457,0.8963,2.77e-04
12,0.7720,0.6396,0.8847,2.75e-04
13,0.7185,0.6666,0.9006,2.73e-04
14,0.6885,0.6383,0.8875,2.71e-04
15,0.6460,0.6933,0.9170,2.68e-04
16,0.6674,0.6799,0.9110,2.66e-04
17,0.5743,0.6840,0.9169,2.64e-04
18,0.5695,0.6955,0.9207,2.61e-04
19,0.6207,0.6629,0.9148,2.59e-04
20,0.5833,0.6350,0.8934,2.57e-04
21,0.5444,0.6801,0.9164,2.55e-04
22,0.5088,0.7059,0.9238,2.52e-04
23,0.4768,0.7201,0.9351,2.50e-04
24,0.4606,0.7135,0.9307,2.48e-04
25,0.4443,0.7331,0.9394,2.45e-04
26,0.4369,0.7133,0.9262,2.43e-04
27,0.4064,0.7329,0.9345,2.41e-04
28,0.4171,0.7276,0.9344,2.39e-04
29,0.3974,0.7420,0.9394,2.36e-04
30,0.3852,0.7232,0.9315,2.34e-04
31,0.3571,0.7306,0.9353,2.32e-04
32,0.3666,0.7445,0.9418,2.29e-04
33,0.3660,0.7230,0.9326,2.27e-04
34,0.3495,0.7140,0.9287,2.25e-04
35,0.3419,0.7180,0.9290,2.22e-04
36,0.3170,0.7246,0.9326,2.20e-04
37,0.3034,0.7328,0.9367,2.18e-04
38,0.3195,0.7370,0.9404,2.15e-04
39,0.3091,0.7348,0.9381,2.13e-04
40,0.3050,0.7418,0.9431,2.11e-04
41,0.3042,0.7084,0.9292,2.08e-04
42,0.3314,0.7212,0.9378,2.06e-04
43,0.3228,0.7265,0.9388,2.04e-04
44,0.2852,0.7359,0.9402,2.01e-04
45,0.2835,0.7324,0.9396,1.99e-04
46,0.2938,0.7315,0.9386,1.97e-04
