epoch,train_loss,val_miou,val_pixel_acc,lr
133,0.1710,0.7982,0.9570,3.79e-05
134,0.1786,0.7976,0.9571,3.74e-05
135,0.1835,0.7993,0.9577,3.69e-05
136,0.1683,0.7990,0.9567,3.64e-05
137,0.1686,0.7987,0.9576,3.59e-05
138,0.1704,0.7985,0.9569,3.54e-05
139,0.1690,0.7971,0.9562,3.49e-05
140,0.1725,0.7989,0.9570,3.43e-05
141,0.1635,0.8000,0.9574,3.38e-05
142,0.1680,0.8000,0.9577,3.33e-05
143,0.1683,0.8004,0.9578,3.28e-05
144,0.1665,0.7964,0.9562,3.23e-05
145,0.1641,0.7969,0.9566,3.18e-05
146,0.1649,0.7984,0.9569,3.13e-05
147,0.1673,0.7990,0.9568,3.08e-05
148,0.1663,0.7991,0.9576,3.03e-05
149,0.1632,0.7984,0.9572,2.97e-05
150,0.1701,0.7953,0.9568,2.92e-05
151,0.1655,0.7984,0.9572,2.87e-05
152,0.1631,0.7964,0.9567,2.82e-05
153,0.1606,0.7983,0.9573,2.77e-05
154,0.1616,0.8001,0.9574,2.72e-05
155,0.1673,0.7980,0.9574,2.66e-05
156,0.1631,0.7973,0.9570,2.61e-05
157,0.1591,0.8002,0.9575,2.56e-05
158,0.1599,0.7990,0.9573,2.51e-05
159,0.1613,0.7999,0.9576,2.45e-05
160,0.1611,0.7996,0.9572,2.40e-05
161,0.1571,0.7979,0.9570,2.35e-05
162,0.1556,0.7972,0.9570,2.30e-05
163,0.1608,0.7994,0.9575,2.24e-05
164,0.1600,0.8011,0.9574,2.19e-05
165,0.1644,0.7989,0.9574,2.14e-05
166,0.1595,0.7987,0.9571,2.08e-05
167,0.1597,0.7999,0.9574,2.03e-05
168,0.1539,0.7985,0.9571,1.98e-05
169,0.1566,0.7999,0.9573,1.92e-05
170,0.1529,0.8007,0.9574,1.87e-05
171,0.1527,0.8005,0.9575,1.81e-05
172,0.1614,0.7997,0.9576,1.76e-05
173,0.1587,0.7975,0.9567,1.70e-05
174,0.1561,0.8005,0.9577,1.65e-05
175,0.1536,0.7992,0.9574,1.59e-05
176,0.1536,0.8002,0.9573,1.54e-05
177,0.1546,0.8021,0.9579,1.48e-05
178,0.1518,0.8018,0.9578,1.43e-05
179,0.1568,0.8000,0.9573,1.37e-05
180,0.1565,0.8006,0.9575,1.32e-05
181,0.1520,0.7999,0.9575,1.26e-05
182,0.1572,0.8015,0.9577,1.20e-05
183,0.1527,0.8007,0.9573,1.15e-05
184,0.1592,0.8006,0.9576,1.09e-05
185,0.1544,0.8010,0.9577,1.03e-05
186,0.1569,0.8008,0.9577,9.72e-06
187,0.1525,0.7993,0.9572,9.13e-06
188,0.1514,0.7995,0.9571,8.54e-06
189,0.1491,0.7999,0.9573,7.95e-06
190,0.1524,0.8005,0.9574,7.35e-06
191,0.1511,0.8009,0.9575,6.75e-06
192,0.1551,0.8002,0.9574,6.14e-06
193,0.1551,0.8001,0.9574,5.52e-06
194,0.1491,0.8003,0.9576,4.89e-06
195,0.1545,0.8004,0.9575,4.26e-06
196,0.1520,0.8012,0.9577,3.62e-06
197,0.1560,0.8003,0.9575,2.96e-06
198,0.1495,0.8006,0.9575,2.28e-06
199,0.1471,0.8005,0.9574,1.58e-06
200,0.1537,0.8006,0.9574,8.49e-07
