epoch,train_loss,val_miou,val_pixel_acc,lr
1,1.4830,0.5698,0.8617,1.00e-04
2,0.8855,0.6443,0.8966,9.92e-05
3,0.7375,0.6807,0.9153,9.85e-05
4,0.6853,0.6845,0.9153,9.77e-05
5,0.6141,0.7056,0.9280,9.70e-05
6,0.5577,0.7166,0.9304,9.62e-05
7,0.5320,0.7303,0.9369,9.55e-05
8,0.5232,0.7408,0.9410,9.47e-05
9,0.5013,0.7388,0.9375,9.40e-05
10,0.4603,0.7395,0.9343,9.32e-05
11,0.4652,0.7437,0.9419,9.25e-05
12,0.4597,0.7490,0.9429,9.17e-05
13,0.4086,0.7463,0.9404,9.10e-05
14,0.4107,0.7498,0.9439,9.02e-05
15,0.4322,0.7680,0.9491,8.94e-05
16,0.4094,0.7553,0.9446,8.87e-05
17,0.3915,0.7588,0.9450,8.79e-05
18,0.3786,0.7482,0.9401,8.72e-05
19,0.3612,0.7662,0.9482,8.64e-05
20,0.3640,0.7606,0.9456,8.56e-05
21,0.3564,0.7663,0.9483,8.49e-05
22,0.3572,0.7671,0.9474,8.41e-05
23,0.3498,0.7629,0.9454,8.33e-05
24,0.3502,0.7767,0.9499,8.26e-05
25,0.3388,0.7760,0.9514,8.18e-05
26,0.3231,0.7678,0.9482,8.10e-05
27,0.3352,0.7785,0.9523,8.03e-05
28,0.3072,0.7742,0.9506,7.95e-05
29,0.3154,0.7756,0.9527,7.87e-05
30,0.3100,0.7688,0.9481,7.80e-05
31,0.3035,0.7780,0.9506,7.72e-05
32,0.3083,0.7766,0.9512,7.64e-05
33,0.3006,0.7753,0.9497,7.56e-05
34,0.2910,0.7786,0.9521,7.49e-05
35,0.3033,0.7821,0.9527,7.41e-05
36,0.3022,0.7822,0.9533,7.33e-05
37,0.2830,0.7814,0.9519,7.25e-05
38,0.2888,0.7802,0.9523,7.18e-05
39,0.2744,0.7828,0.9534,7.10e-05
40,0.2675,0.7861,0.9528,7.02e-05
41,0.2712,0.7848,0.9525,6.94e-05
42,0.2716,0.7905,0.9535,6.86e-05
43,0.2670,0.7938,0.9558,6.79e-05
44,0.2724,0.7814,0.9529,6.71e-05
45,0.2783,0.7861,0.9545,6.63e-05
46,0.2600,0.7925,0.9545,6.55e-05
47,0.2777,0.7823,0.9524,6.47e-05
48,0.2641,0.7841,0.9519,6.39e-05
49,0.2555,0.7927,0.9549,6.31e-05
50,0.2580,0.7830,0.9546,6.24e-05
51,0.2531,0.7890,0.9542,6.16e-05
52,0.2496,0.7901,0.9538,6.08e-05
53,0.2481,0.7897,0.9545,6.00e-05
54,0.2458,0.7896,0.9536,5.92e-05
55,0.2457,0.7889,0.9552,5.84e-05
56,0.2364,0.7878,0.9532,5.76e-05
57,0.2469,0.7897,0.9548,5.68e-05
58,0.2382,0.7876,0.9534,5.60e-05
59,0.2386,0.7922,0.9547,5.52e-05
60,0.2371,0.7885,0.9546,5.44e-05
61,0.2338,0.7840,0.9531,5.36e-05
62,0.2312,0.7909,0.9553,5.28e-05
63,0.2389,0.7952,0.9559,5.20e-05
64,0.2402,0.7917,0.9540,5.12e-05
65,0.2378,0.7919,0.9552,5.04e-05
66,0.2258,0.7938,0.9556,4.96e-05
67,0.2244,0.7919,0.9550,4.87e-05
68,0.2253,0.7970,0.9559,4.79e-05
69,0.2266,0.7960,0.9557,4.71e-05
70,0.2248,0.7975,0.9552,4.63e-05
71,0.2232,0.7964,0.9557,4.55e-05
72,0.2091,0.7958,0.9564,4.47e-05
73,0.2206,0.7958,0.9558,4.38e-05
74,0.2215,0.7927,0.9555,4.30e-05
75,0.2166,0.7974,0.9562,4.22e-05
76,0.2099,0.7980,0.9565,4.14e-05
77,0.2181,0.7917,0.9549,4.05e-05
78,0.2117,0.7949,0.9554,3.97e-05
79,0.2101,0.7973,0.9568,3.89e-05
80,0.2157,0.7948,0.9560,3.80e-05
81,0.2202,0.7958,0.9561,3.72e-05
82,0.2115,0.7963,0.9560,3.64e-05
83,0.2165,0.7965,0.9564,3.55e-05
84,0.2045,0.7973,0.9554,3.47e-05
85,0.2080,0.7982,0.9567,3.38e-05
86,0.2111,0.7953,0.9571,3.30e-05
87,0.2099,0.7965,0.9568,3.21e-05
88,0.2118,0.7961,0.9560,3.13e-05
89,0.2118,0.7977,0.9562,3.04e-05
90,0.2040,0.7981,0.9558,2.96e-05
91,0.2099,0.7970,0.9560,2.87e-05
92,0.2014,0.7986,0.9568,2.79e-05
93,0.2007,0.7978,0.9559,2.70e-05
94,0.2009,0.7992,0.9567,2.61e-05
95,0.2015,0.7985,0.9562,2.52e-05
96,0.2057,0.7983,0.9565,2.44e-05
97,0.1942,0.7954,0.9562,2.35e-05
98,0.1975,0.7954,0.9552,2.26e-05
99,0.1943,0.7957,0.9564,2.17e-05
100,0.1909,0.7971,0.9557,2.08e-05
101,0.1961,0.7949,0.9556,1.99e-05
102,0.1951,0.7969,0.9561,1.90e-05
103,0.1957,0.7976,0.9562,1.81e-05
104,0.1974,0.7983,0.9567,1.72e-05
105,0.1884,0.7991,0.9564,1.63e-05
106,0.1945,0.7968,0.9564,1.54e-05
107,0.1955,0.7975,0.9569,1.45e-05
108,0.1895,0.7976,0.9565,1.35e-05
109,0.1960,0.7968,0.9560,1.26e-05
110,0.1918,0.7988,0.9568,1.16e-05
111,0.1866,0.7979,0.9563,1.07e-05
112,0.1854,0.7975,0.9564,9.72e-06
113,0.2009,0.7966,0.9562,8.74e-06
114,0.1975,0.7970,0.9560,7.75e-06
115,0.1874,0.7968,0.9563,6.75e-06
116,0.1843,0.7975,0.9562,5.73e-06
117,0.1924,0.7970,0.9560,4.68e-06
118,0.1856,0.7978,0.9563,3.62e-06
119,0.1847,0.7975,0.9562,2.51e-06
120,0.1840,0.7981,0.9565,1.35e-06
