epoch,train_loss,val_miou,val_pixel_acc,lr
1,2.5384,0.4344,0.7576,3.00e-04
2,1.7555,0.4979,0.8072,2.98e-04
3,1.4160,0.5510,0.8399,2.95e-04
4,1.1503,0.5886,0.8715,2.93e-04
5,1.0474,0.6083,0.8795,2.91e-04
6,0.9098,0.6398,0.8938,2.89e-04
7,0.8172,0.6407,0.8949,2.86e-04
8,0.7842,0.6196,0.8761,2.84e-04
9,0.7802,0.6569,0.8973,2.82e-04
10,0.6891,0.6252,0.8843,2.80e-04
11,0.6255,0.6728,0.9071,2.77e-04
12,0.6955,0.6432,0.9019,2.75e-04
13,0.6591,0.6696,0.9118,2.73e-04
14,0.5881,0.6566,0.9008,2.71e-04
15,0.5613,0.6979,0.9159,2.68e-04
16,0.4962,0.7154,0.9235,2.66e-04
17,0.4803,0.6593,0.8996,2.64e-04
18,0.4670,0.7020,0.9237,2.61e-04
19,0.4678,0.7034,0.9221,2.59e-04
20,0.4421,0.7165,0.9260,2.57e-04
21,0.3993,0.7093,0.9269,2.55e-04
22,0.4181,0.7313,0.9331,2.52e-04
23,0.4020,0.7263,0.9305,2.50e-04
24,0.4052,0.6827,0.9063,2.48e-04
25,0.4165,0.7174,0.9305,2.45e-04
26,0.4075,0.7157,0.9221,2.43e-04
27,0.3800,0.7052,0.9268,2.41e-04
28,0.3914,0.7163,0.9353,2.39e-04
29,0.3767,0.7365,0.9380,2.36e-04
30,0.3647,0.7276,0.9355,2.34e-04
31,0.3339,0.7219,0.9311,2.32e-04
32,0.4186,0.5993,0.8942,2.29e-04
33,0.4266,0.6389,0.8985,2.27e-04
34,0.4016,0.7108,0.9333,2.25e-04
35,0.3333,0.7377,0.9381,2.22e-04
36,0.3041,0.7477,0.9417,2.20e-04
37,0.3030,0.7466,0.9420,2.18e-04
38,0.3019,0.7315,0.9342,2.15e-04
39,0.2939,0.7554,0.9423,2.13e-04
40,0.2758,0.7641,0.9459,2.11e-04
41,0.2781,0.7587,0.9410,2.08e-04
42,0.2684,0.7586,0.9443,2.06e-04
43,0.2705,0.7599,0.9461,2.04e-04
44,0.2653,0.7521,0.9390,2.01e-04
45,0.2452,0.7512,0.9410,1.99e-04
