epoch,train_loss,val_miou,val_pixel_acc,lr
1,3.1016,0.1640,0.3916,3.00e-04
2,2.5675,0.3352,0.6829,2.98e-04
3,2.2553,0.3856,0.7486,2.95e-04
4,2.0442,0.4226,0.7547,2.93e-04
5,1.8201,0.4604,0.8101,2.91e-04
6,1.6599,0.4712,0.8019,2.89e-04
7,1.5232,0.4855,0.8287,2.86e-04
8,1.4351,0.5076,0.8270,2.84e-04
9,1.3485,0.5013,0.8088,2.82e-04
10,1.2383,0.5334,0.8331,2.80e-04
11,1.1996,0.5323,0.8137,2.77e-04
12,1.1519,0.5726,0.8512,2.75e-04
13,1.0163,0.6001,0.8807,2.73e-04
14,0.9569,0.5794,0.8718,2.71e-04
15,0.9258,0.5986,0.8636,2.68e-04
16,0.8938,0.6022,0.8744,2.66e-04
17,0.8214,0.6366,0.8945,2.64e-04
18,0.8219,0.6027,0.8834,2.61e-04
19,0.7665,0.6281,0.8810,2.59e-04
20,0.7553,0.6333,0.8914,2.57e-04
21,0.7717,0.6253,0.8897,2.55e-04
22,0.7588,0.6209,0.8863,2.52e-04
23,0.6812,0.6332,0.8993,2.50e-04
24,0.6890,0.6557,0.9054,2.48e-04
25,0.6778,0.6714,0.9154,2.45e-04
26,0.6127,0.6210,0.8959,2.43e-04
27,0.5752,0.6352,0.9010,2.41e-04
28,0.5788,0.6695,0.9148,2.39e-04
29,0.5648,0.6825,0.9127,2.36e-04
30,0.5192,0.6636,0.9115,2.34e-04
31,0.5037,0.6639,0.9088,2.32e-04
32,0.4971,0.6811,0.9167,2.29e-04
33,0.4600,0.6858,0.9161,2.27e-04
34,0.4594,0.6683,0.9084,2.25e-04
35,0.4516,0.6903,0.9231,2.22e-04
36,0.4622,0.6716,0.9138,2.20e-04
37,0.4336,0.6903,0.9232,2.18e-04
38,0.3998,0.6545,0.9135,2.15e-04
39,0.3985,0.6815,0.9201,2.13e-04
40,0.3665,0.6886,0.9231,2.11e-04
41,0.3718,0.7024,0.9258,2.08e-04
42,0.3470,0.6894,0.9235,2.06e-04
43,0.3631,0.6869,0.9212,2.04e-04
44,0.3634,0.6560,0.9091,2.01e-04
45,0.3644,0.6683,0.9183,1.99e-04
46,0.3669,0.6878,0.9257,1.97e-04
47,0.3505,0.6927,0.9266,1.94e-04
48,0.3433,0.6657,0.9181,1.92e-04
49,0.3641,0.6833,0.9242,1.89e-04
50,0.3509,0.6791,0.9167,1.87e-04
51,0.3466,0.6864,0.9232,1.85e-04
52,0.3445,0.6487,0.9138,1.82e-04
53,0.3289,0.6791,0.9190,1.80e-04
54,0.3122,0.6921,0.9277,1.78e-04
55,0.3129,0.6779,0.9221,1.75e-04
56,0.3170,0.6858,0.9250,1.73e-04
57,0.3121,0.6852,0.9190,1.70e-04
58,0.2870,0.6842,0.9247,1.68e-04
59,0.2886,0.6805,0.9201,1.66e-04
60,0.2830,0.6828,0.9255,1.63e-04
61,0.2687,0.6923,0.9294,1.61e-04
62,0.2773,0.6801,0.9235,1.58e-04
63,0.2737,0.6905,0.9242,1.56e-04
64,0.2820,0.6747,0.9211,1.54e-04
65,0.2857,0.6792,0.9247,1.51e-04
66,0.2493,0.6805,0.9255,1.49e-04
67,0.2538,0.6918,0.9253,1.46e-04
68,0.2474,0.6836,0.9269,1.44e-04
69,0.2370,0.6929,0.9296,1.41e-04
70,0.2365,0.6883,0.9298,1.39e-04
71,0.2339,0.6836,0.9267,1.36e-04
72,0.2555,0.6972,0.9308,1.34e-04
73,0.2356,0.6823,0.9288,1.32e-04
74,0.2306,0.6769,0.9267,1.29e-04
75,0.2248,0.6820,0.9264,1.27e-04
76,0.2341,0.6924,0.9290,1.24e-04
77,0.2304,0.6849,0.9299,1.22e-04
78,0.2279,0.6834,0.9271,1.19e-04
79,0.2296,0.7033,0.9338,1.17e-04
80,0.2445,0.6825,0.9256,1.14e-04
81,0.2343,0.6790,0.9270,1.12e-04
82,0.2562,0.6722,0.9206,1.09e-04
83,0.2151,0.6687,0.9220,1.07e-04
84,0.2161,0.6705,0.9233,1.04e-04
85,0.2097,0.6809,0.9274,1.02e-04
86,0.2196,0.6916,0.9302,9.90e-05
87,0.2278,0.6832,0.9281,9.64e-05
88,0.2064,0.6942,0.9304,9.39e-05
89,0.1927,0.6759,0.9243,9.13e-05
90,0.2061,0.6833,0.9265,8.87e-05
91,0.1966,0.6819,0.9270,8.62e-05
92,0.1820,0.6808,0.9257,8.36e-05
93,0.1848,0.6744,0.9247,8.10e-05
94,0.1944,0.6859,0.9295,7.84e-05
95,0.1885,0.6780,0.9254,7.57e-05
96,0.1862,0.6827,0.9270,7.31e-05
97,0.1973,0.6872,0.9299,7.05e-05
98,0.1846,0.6771,0.9256,6.78e-05
99,0.1820,0.6816,0.9277,6.52e-05
100,0.1823,0.6842,0.9274,6.25e-05
101,0.1786,0.6877,0.9297,5.98e-05
102,0.1868,0.6866,0.9282,5.71e-05
103,0.1781,0.6848,0.9285,5.44e-05
104,0.1773,0.6789,0.9260,5.17e-05
105,0.1903,0.6844,0.9289,4.89e-05
106,0.1882,0.6852,0.9292,4.62e-05
107,0.1839,0.6768,0.9270,4.34e-05
108,0.1855,0.6824,0.9282,4.06e-05
109,0.1780,0.6739,0.9256,3.78e-05
110,0.1660,0.6752,0.9264,3.49e-05
111,0.1679,0.6780,0.9269,3.21e-05
112,0.1620,0.6749,0.9262,2.92e-05
113,0.1831,0.6770,0.9270,2.62e-05
114,0.1686,0.6779,0.9266,2.33e-05
115,0.1683,0.6760,0.9261,2.02e-05
116,0.1618,0.6730,0.9251,1.72e-05
117,0.1608,0.6770,0.9269,1.41e-05
118,0.1657,0.6783,0.9270,1.08e-05
119,0.1668,0.6787,0.9272,7.53e-06
120,0.1703,0.6800,0.9274,4.04e-06
