epoch,train_loss,val_miou,val_pixel_acc,lr
1,2.5288,0.4113,0.7432,3.00e-04
2,1.7941,0.4689,0.7330,2.99e-04
3,1.3892,0.5568,0.8275,2.97e-04
4,1.1422,0.5028,0.8227,2.96e-04
5,0.9966,0.6119,0.8684,2.95e-04
6,0.9417,0.5903,0.8520,2.93e-04
7,0.8823,0.5793,0.8663,2.92e-04
8,0.8356,0.6144,0.8796,2.91e-04
9,0.7548,0.6687,0.9036,2.89e-04
10,0.7159,0.6618,0.9017,2.88e-04
11,0.6695,0.6687,0.9036,2.86e-04
12,0.6194,0.6753,0.9002,2.85e-04
13,0.5852,0.7004,0.9209,2.84e-04
14,0.5686,0.6773,0.9138,2.82e-04
15,0.5137,0.6893,0.9133,2.81e-04
16,0.5073,0.6899,0.9142,2.80e-04
17,0.4944,0.7208,0.9296,2.78e-04
18,0.4587,0.6994,0.9200,2.77e-04
19,0.4647,0.6676,0.9178,2.76e-04
20,0.4356,0.7041,0.9349,2.74e-04
21,0.4642,0.7157,0.9320,2.73e-04
22,0.4187,0.7096,0.9257,2.71e-04
23,0.4190,0.7126,0.9330,2.70e-04
24,0.4111,0.7287,0.9370,2.69e-04
25,0.4084,0.7275,0.9365,2.67e-04
26,0.3703,0.7269,0.9369,2.66e-04
27,0.3700,0.7321,0.9377,2.65e-04
28,0.3794,0.7292,0.9388,2.63e-04
29,0.3680,0.7366,0.9406,2.62e-04
30,0.3574,0.7165,0.9307,2.61e-04
31,0.3596,0.7159,0.9344,2.59e-04
32,0.3626,0.7277,0.9323,2.58e-04
33,0.3505,0.7360,0.9402,2.56e-04
34,0.3462,0.7440,0.9414,2.55e-04
35,0.3019,0.7282,0.9347,2.54e-04
36,0.3129,0.7376,0.9418,2.52e-04
37,0.2959,0.7391,0.9415,2.51e-04
38,0.3717,0.6677,0.9086,2.50e-04
39,0.4068,0.6919,0.9240,2.48e-04
40,0.4285,0.6846,0.9111,2.47e-04
41,0.4070,0.7211,0.9384,2.45e-04
42,0.3680,0.7211,0.9331,2.44e-04
43,0.3268,0.7343,0.9390,2.43e-04
44,0.2964,0.7244,0.9354,2.41e-04
45,0.2862,0.7330,0.9405,2.40e-04
46,0.2742,0.7349,0.9391,2.39e-04
47,0.2879,0.7389,0.9399,2.37e-04
48,0.2833,0.7340,0.9423,2.36e-04
49,0.2731,0.7260,0.9391,2.34e-04
50,0.2587,0.7380,0.9404,2.33e-04
51,0.2541,0.7354,0.9423,2.32e-04
52,0.2604,0.7170,0.9329,2.30e-04
53,0.2397,0.7181,0.9411,2.29e-04
54,0.2426,0.7364,0.9454,2.27e-04
55,0.2255,0.7339,0.9400,2.26e-04
56,0.2317,0.7193,0.9382,2.25e-04
57,0.2638,0.7352,0.9415,2.23e-04
58,0.2239,0.7391,0.9379,2.22e-04
59,0.2178,0.7414,0.9433,2.20e-04
60,0.2328,0.7504,0.9448,2.19e-04
61,0.2143,0.7501,0.9452,2.18e-04
62,0.2170,0.7344,0.9407,2.16e-04
63,0.1990,0.7334,0.9417,2.15e-04
64,0.2116,0.7349,0.9415,2.13e-04
65,0.2108,0.7337,0.9400,2.12e-04
66,0.2183,0.7200,0.9347,2.11e-04
67,0.2200,0.7382,0.9397,2.09e-04
68,0.2043,0.7383,0.9424,2.08e-04
69,0.2015,0.7369,0.9406,2.06e-04
70,0.1902,0.7340,0.9416,2.05e-04
71,0.1984,0.7429,0.9453,2.04e-04
72,0.1909,0.7439,0.9431,2.02e-04
73,0.2105,0.7318,0.9369,2.01e-04
74,0.2066,0.7421,0.9411,1.99e-04
75,0.2154,0.7219,0.9399,1.98e-04
76,0.2275,0.7214,0.9294,1.97e-04
77,0.2311,0.7357,0.9318,1.95e-04
78,0.2105,0.7436,0.9448,1.94e-04
79,0.1946,0.7456,0.9448,1.92e-04
80,0.1980,0.7204,0.9398,1.91e-04
81,0.1953,0.7286,0.9408,1.89e-04
82,0.2033,0.7115,0.9394,1.88e-04
83,0.1830,0.7443,0.9444,1.87e-04
84,0.1959,0.7259,0.9370,1.85e-04
85,0.1978,0.7419,0.9425,1.84e-04
86,0.1916,0.7389,0.9428,1.82e-04
87,0.2069,0.7419,0.9453,1.81e-04
88,0.2059,0.7325,0.9395,1.79e-04
89,0.1812,0.7527,0.9468,1.78e-04
90,0.1841,0.7496,0.9445,1.77e-04
91,0.1702,0.7508,0.9455,1.75e-04
92,0.1755,0.7460,0.9455,1.74e-04
93,0.1638,0.7406,0.9458,1.72e-04
94,0.1742,0.7480,0.9484,1.71e-04
95,0.1686,0.7489,0.9477,1.69e-04
96,0.1683,0.7513,0.9459,1.68e-04
97,0.1635,0.7517,0.9460,1.67e-04
98,0.1598,0.7569,0.9475,1.65e-04
99,0.1646,0.7488,0.9461,1.64e-04
100,0.1609,0.7524,0.9475,1.62e-04
101,0.1602,0.7570,0.9473,1.61e-04
102,0.2178,0.6914,0.9346,1.59e-04
103,0.1962,0.7491,0.9422,1.58e-04
104,0.1745,0.7327,0.9423,1.56e-04
105,0.1724,0.7275,0.9405,1.55e-04
106,0.1776,0.7397,0.9437,1.54e-04
107,0.1661,0.7438,0.9439,1.52e-04
108,0.1649,0.7501,0.9462,1.51e-04
109,0.1606,0.7452,0.9428,1.49e-04
110,0.1509,0.7467,0.9466,1.48e-04
111,0.1509,0.7442,0.9447,1.46e-04
112,0.1512,0.7394,0.9440,1.45e-04
113,0.1481,0.7458,0.9451,1.43e-04
114,0.1414,0.7495,0.9482,1.42e-04
115,0.1413,0.7433,0.9465,1.40e-04
116,0.1444,0.7152,0.9425,1.39e-04
117,0.1472,0.7452,0.9446,1.37e-04
118,0.1425,0.7395,0.9473,1.36e-04
119,0.1458,0.7289,0.9429,1.34e-04
120,0.1420,0.7450,0.9467,1.33e-04
121,0.1389,0.7462,0.9471,1.32e-04
122,0.1396,0.7472,0.9466,1.30e-04
123,0.1453,0.7410,0.9470,1.29e-04
124,0.1418,0.7399,0.9444,1.27e-04
125,0.1430,0.7496,0.9479,1.26e-04
126,0.1389,0.7433,0.9467,1.24e-04
127,0.1451,0.7462,0.9458,1.23e-04
128,0.1378,0.7435,0.9469,1.21e-04
129,0.1418,0.7364,0.9462,1.20e-04
130,0.1345,0.7411,0.9465,1.18e-04
131,0.1351,0.7339,0.9446,1.17e-04
132,0.1304,0.7408,0.9461,1.15e-04
133,0.1337,0.7434,0.9461,1.14e-04
134,0.1340,0.7279,0.9410,1.12e-04
135,0.1277,0.7405,0.9452,1.11e-04
136,0.1370,0.7479,0.9457,1.09e-04
137,0.1391,0.7487,0.9480,1.08e-04
138,0.1310,0.7450,0.9465,1.06e-04
139,0.1373,0.7283,0.9438,1.05e-04
140,0.1441,0.7404,0.9460,1.03e-04
141,0.1295,0.7509,0.9477,1.02e-04
142,0.1313,0.7508,0.9495,1.00e-04
143,0.1251,0.7429,0.9474,9.85e-05
144,0.1200,0.7475,0.9479,9.69e-05
145,0.1265,0.7472,0.9478,9.54e-05
146,0.1253,0.7491,0.9486,9.39e-05
147,0.1178,0.7481,0.9484,9.23e-05
148,0.1160,0.7463,0.9472,9.08e-05
149,0.1158,0.7417,0.9478,8.92e-05
150,0.1158,0.7472,0.9475,8.77e-05
151,0.1183,0.7477,0.9481,8.62e-05
152,0.1178,0.7472,0.9478,8.46e-05
153,0.1178,0.7401,0.9465,8.30e-05
154,0.1221,0.7398,0.9458,8.15e-05
155,0.1162,0.7432,0.9472,7.99e-05
156,0.1115,0.7460,0.9476,7.84e-05
157,0.1127,0.7415,0.9472,7.68e-05
158,0.1149,0.7241,0.9433,7.52e-05
159,0.1304,0.7521,0.9464,7.36e-05
160,0.1120,0.7541,0.9479,7.21e-05
161,0.1263,0.7547,0.9471,7.05e-05
162,0.1119,0.7554,0.9484,6.89e-05
163,0.1153,0.7502,0.9476,6.73e-05
164,0.1153,0.7527,0.9469,6.57e-05
165,0.1140,0.7508,0.9477,6.41e-05
166,0.1127,0.7510,0.9478,6.25e-05
167,0.1110,0.7570,0.9481,6.09e-05
168,0.1087,0.7487,0.9475,5.93e-05
169,0.1084,0.7456,0.9472,5.77e-05
170,0.1067,0.7502,0.9481,5.60e-05
171,0.1054,0.7459,0.9475,5.44e-05
172,0.1069,0.7452,0.9455,5.28e-05
173,0.1071,0.7467,0.9469,5.11e-05
174,0.1087,0.7478,0.9472,4.95e-05
175,0.1093,0.7430,0.9468,4.78e-05
176,0.1026,0.7468,0.9475,4.62e-05
177,0.1030,0.7462,0.9478,4.45e-05
178,0.1009,0.7466,0.9477,4.28e-05
179,0.1004,0.7466,0.9477,4.12e-05
180,0.1041,0.7501,0.9486,3.95e-05
181,0.1044,0.7487,0.9475,3.78e-05
182,0.1036,0.7451,0.9472,3.61e-05
183,0.1040,0.7434,0.9470,3.44e-05
184,0.1027,0.7488,0.9482,3.26e-05
185,0.1006,0.7444,0.9471,3.09e-05
186,0.1002,0.7492,0.9480,2.92e-05
187,0.0990,0.7467,0.9478,2.74e-05
188,0.1011,0.7485,0.9485,2.56e-05
189,0.0988,0.7486,0.9484,2.38e-05
190,0.0951,0.7454,0.9478,2.21e-05
191,0.1002,0.7474,0.9479,2.02e-05
192,0.0989,0.7497,0.9486,1.84e-05
193,0.0950,0.7494,0.9485,1.66e-05
194,0.1017,0.7476,0.9479,1.47e-05
195,0.0954,0.7477,0.9481,1.28e-05
196,0.0971,0.7488,0.9482,1.08e-05
197,0.1009,0.7482,0.9484,8.87e-06
198,0.0935,0.7481,0.9482,6.85e-06
199,0.0923,0.7480,0.9482,4.75e-06
200,0.0963,0.7466,0.9481,2.55e-06
